0x201100A4 CFG-NAVSPG-INFIL_MINELEV
0x201100AA CFG-NAVSPG-INFIL_NCNOTHRS
0x201100AB CFG-NAVSPG-INFIL_CNOTHRS
0x301100B1 CFG-NAVSPG-OUTFIL_PDOP
0x301100B2 CFG-NAVSPG-OUTFIL_TDOP
0x301100B3 CFG-NAVSPG-OUTFIL_PACC
0x301100B4 CFG-NAVSPG-OUTFIL_TACC
0x301100B5 CFG-NAVSPG-OUTFIL_FACC
0x401100C1 CFG-NAVSPG-CONSTR_ALT
0x401100C2 CFG-NAVSPG-CONSTR_ALTVAR
0x401100C3 CFG-NAVSPG-CONSTR_PROPLIMIT
0x201100C4 CFG-NAVSPG-CONSTR_DGNSSTO
0x201100D6 CFG-NAVSPG-SIGATTCOMP
0x101100D7 CFG-NAVSPG-PL_ENA
0x101100DD CFG-NAVSPG-ONLY_AUTHDATA
0x301100DE CFG-NAVSPG-MAX_TIMETRUSTED_ACC
0x20140011 CFG-NAVHPG-DGNSSMODE
0x10170001 CFG-NAV2-OUT_ENABLED
0x10170002 CFG-NAV2-SBAS_USE_INTEGRITY
0x10170003 CFG-NAV2-NAVSPG_ONLY_AUTHDATA
0x50180001 CFG-NAVMASK-EL_MASK_000_020
0x50180002 CFG-NAVMASK-EL_MASK_020_040
0x50180003 CFG-NAVMASK-EL_MASK_040_060
0x50180004 CFG-NAVMASK-EL_MASK_060_080
0x50180005 CFG-NAVMASK-EL_MASK_080_100
0x50180006 CFG-NAVMASK-EL_MASK_100_120
0x50180007 CFG-NAVMASK-EL_MASK_120_140
0x50180008 CFG-NAVMASK-EL_MASK_140_160
0x50180009 CFG-NAVMASK-EL_MASK_160_180
0x5018000A CFG-NAVMASK-EL_MASK_180_200
0x5018000B CFG-NAVMASK-EL_MASK_200_220
0x5018000C CFG-NAVMASK-EL_MASK_220_240
0x5018000D CFG-NAVMASK-EL_MASK_240_260
0x5018000E CFG-NAVMASK-EL_MASK_260_280
0x5018000F CFG-NAVMASK-EL_MASK_280_300
0x50180010 CFG-NAVMASK-EL_MASK_300_320
0x50180011 CFG-NAVMASK-EL_MASK_320_340
0x50180012 CFG-NAVMASK-EL_MASK_340_360
0x50180013 CFG-NAVMASK-SV_MASK_GPS
0x50180014 CFG-NAVMASK-SV_MASK_GAL
0x50180015 CFG-NAVMASK-SV_MASK_GLO
0x50180016 CFG-NAVMASK-SV_MASK_BDS
0x50180017 CFG-NAVMASK-SV_MASK_QZSS
0x50180018 CFG-NAVMASK-SV_MASK_NAVIC
0x30210001 CFG-RATE-MEAS
0x30210002 CFG-RATE-NAV
0x20210003 CFG-RATE-TIMEREF
0x20210004 CFG-RATE-NAV_PRIO
0x10220001 CFG-ODO-USE_ODO
0x10220002 CFG-ODO-USE_COG
0x10220003 CFG-ODO-OUTLPVEL
0x10220004 CFG-ODO-OUTLPCOG
0x20220005 CFG-ODO-PROFILE
0x20220021 CFG-ODO-COGMAXSPEED
0x20220022 CFG-ODO-COGMAXPOSACC
0x20220031 CFG-ODO-VELLPGAIN
0x20220032 CFG-ODO-COGLPGAIN
0x10230001 CFG-ANA-USE_ANA
0x30230002 CFG-ANA-ORBMAXERR
0x20240011 CFG-GEOFENCE-CONFLVL
0x10240012 CFG-GEOFENCE-USE_PIO
0x20240013 CFG-GEOFENCE-PINPOL
0x20240014 CFG-GEOFENCE-PIN
0x10240020 CFG-GEOFENCE-USE_FENCE1
0x40240021 CFG-GEOFENCE-FENCE1_LAT
0x40240022 CFG-GEOFENCE-FENCE1_LON
0x40240023 CFG-GEOFENCE-FENCE1_RAD
0x10240030 CFG-GEOFENCE-USE_FENCE2
0x40240031 CFG-GEOFENCE-FENCE2_LAT
0x40240032 CFG-GEOFENCE-FENCE2_LON
0x40240033 CFG-GEOFENCE-FENCE2_RAD
0x10240040 CFG-GEOFENCE-USE_FENCE3
0x40240041 CFG-GEOFENCE-FENCE3_LAT
0x40240042 CFG-GEOFENCE-FENCE3_LON
0x40240043 CFG-GEOFENCE-FENCE3_RAD
0x10240050 CFG-GEOFENCE-USE_FENCE4
0x40240051 CFG-GEOFENCE-FENCE4_LAT
0x40240052 CFG-GEOFENCE-FENCE4_LON
0x40240053 CFG-GEOFENCE-FENCE4_RAD
0x20250038 CFG-MOT-GNSSSPEED_THRS
0x3025003B CFG-MOT-GNSSDIST_THRS
0x10260013 CFG-BATCH-ENABLE
0x10260014 CFG-BATCH-PIOENABLE
0x30260015 CFG-BATCH-MAXENTRIES
0x30260016 CFG-BATCH-WARNTHRS
0x10260018 CFG-BATCH-PIOACTIVELOW
0x20260019 CFG-BATCH-PIOID
0x1026001A CFG-BATCH-EXTRAPVT
0x1026001B CFG-BATCH-EXTRAODO
0x10310001 CFG-SIGNAL-GPS_L1CA_ENA
0x10310003 CFG-SIGNAL-GPS_L2C_ENA
0x10310004 CFG-SIGNAL-GPS_L5_ENA
0x10310005 CFG-SIGNAL-SBAS_L1CA_ENA
0x10310007 CFG-SIGNAL-GAL_E1_ENA
0x10310009 CFG-SIGNAL-GAL_E5A_ENA
0x1031000A CFG-SIGNAL-GAL_E5B_ENA
0x1031000B CFG-SIGNAL-GAL_E6_ENA
0x1031000D CFG-SIGNAL-BDS_B1_ENA
0x1031000E CFG-SIGNAL-BDS_B2_ENA
0x1031000F CFG-SIGNAL-BDS_B1C_ENA
0x10310010 CFG-SIGNAL-BDS_B3_ENA
0x10310011 CFG-SIGNAL-IMES_L1_ENA
0x10310012 CFG-SIGNAL-QZSS_L1CA_ENA
0x10310014 CFG-SIGNAL-QZSS_L1S_ENA
0x10310015 CFG-SIGNAL-QZSS_L2C_ENA
0x10310017 CFG-SIGNAL-QZSS_L5_ENA
0x10310018 CFG-SIGNAL-GLO_L1_ENA
0x1031001A CFG-SIGNAL-GLO_L2_ENA
0x1031001D CFG-SIGNAL-NAVIC_L5_ENA
0x1031001F CFG-SIGNAL-GPS_ENA
0x10310020 CFG-SIGNAL-SBAS_ENA
0x10310021 CFG-SIGNAL-GAL_ENA
0x10310022 CFG-SIGNAL-BDS_ENA
0x10310023 CFG-SIGNAL-IMES_ENA
0x10310024 CFG-SIGNAL-QZSS_ENA
0x10310025 CFG-SIGNAL-GLO_ENA
0x10310026 CFG-SIGNAL-NAVIC_ENA
0x10310028 CFG-SIGNAL-BDS_B2A_ENA
0x10340014 CFG-BDS-USE_GEO_PRN
0x10350005 CFG-GAL-USE_OSNMA
0x20350007 CFG-GAL-OSNMA_MINTAGLENGTH
0x10350009 CFG-GAL-OSNMA_TIMESYNC
0x10350010 CFG-GAL-OSNMA_INAVPRIM
0x10360002 CFG-SBAS-USE_TESTMODE
0x10360003 CFG-SBAS-USE_RANGING
0x10360004 CFG-SBAS-USE_DIFFCORR
0x10360005 CFG-SBAS-USE_INTEGRITY
0x50360006 CFG-SBAS-PRNSCANMASK
0x10360007 CFG-SBAS-USE_IONOONLY
0x30360008 CFG-SBAS-ACCEPT_NOT_IN_PRNMASK
0x10370005 CFG-QZSS-USE_SLAS_DGNSS
0x10370006 CFG-QZSS-USE_SLAS_TESTMODE
0x10370007 CFG-QZSS-USE_SLAS_RAIM_UNCORR
0x30370008 CFG-QZSS-SLAS_MAX_BASELINE
0x20370020 CFG-QZSS-L6_SVIDA
0x20370030 CFG-QZSS-L6_SVIDB
0x20370050 CFG-QZSS-L6_MSGA
0x20370060 CFG-QZSS-L6_MSGB
0x20370080 CFG-QZSS-L6_RSDECODER
0x20410001 CFG-ITFM-BBTHRESHOLD
0x20410002 CFG-ITFM-CWTHRESHOLD
0x1041000D CFG-ITFM-ENABLE
0x20410010 CFG-ITFM-ANTSETTING
0x10410013 CFG-ITFM-ENABLE_AUX
0x20510001 CFG-I2C-ADDRESS
0x10510002 CFG-I2C-EXTENDEDTIMEOUT
0x10510003 CFG-I2C-ENABLED
0x10510004 CFG-I2C-REMAP
0x40520001 CFG-UART1-BAUDRATE
0x20520002 CFG-UART1-STOPBITS
0x20520003 CFG-UART1-DATABITS
0x20520004 CFG-UART1-PARITY
0x10520005 CFG-UART1-ENABLED
0x40530001 CFG-UART2-BAUDRATE
0x20530002 CFG-UART2-STOPBITS
0x20530003 CFG-UART2-DATABITS
0x20530004 CFG-UART2-PARITY
0x10530005 CFG-UART2-ENABLED
0x10530006 CFG-UART2-REMAP
0x20640001 CFG-SPI-MAXFF
0x10640002 CFG-SPI-CPOLARITY
0x10640003 CFG-SPI-CPHASE
0x10640005 CFG-SPI-EXTENDEDTIMEOUT
0x10640006 CFG-SPI-ENABLED
0x10650001 CFG-USB-ENABLED
0x10650002 CFG-USB-SELFPOW
0x3065000A CFG-USB-VENDOR_ID
0x3065000B CFG-USB-PRODUCT_ID
0x3065000C CFG-USB-POWER
0x5065000D CFG-USB-VENDOR_STR0
0x5065000E CFG-USB-VENDOR_STR1
0x5065000F CFG-USB-VENDOR_STR2
0x50650010 CFG-USB-VENDOR_STR3
0x50650011 CFG-USB-PRODUCT_STR0
0x50650012 CFG-USB-PRODUCT_STR1
0x50650013 CFG-USB-PRODUCT_STR2
0x50650014 CFG-USB-PRODUCT_STR3
0x50650015 CFG-USB-SERIAL_NO_STR0
0x50650016 CFG-USB-SERIAL_NO_STR1
0x50650017 CFG-USB-SERIAL_NO_STR2
0x50650018 CFG-USB-SERIAL_NO_STR3
0x10710001 CFG-I2CINPROT-UBX
0x10710002 CFG-I2CINPROT-NMEA
0x10710003 CFG-I2CINPROT-RTCM2X
0x10710004 CFG-I2CINPROT-RTCM3X
0x10710005 CFG-I2CINPROT-SPARTN
0x10720001 CFG-I2COUTPROT-UBX
0x10720002 CFG-I2COUTPROT-NMEA
0x10720004 CFG-I2COUTPROT-RTCM3X
0x10730001 CFG-UART1INPROT-UBX
0x10730002 CFG-UART1INPROT-NMEA
0x10730003 CFG-UART1INPROT-RTCM2X
0x10730004 CFG-UART1INPROT-RTCM3X
0x10730005 CFG-UART1INPROT-SPARTN
0x10740001 CFG-UART1OUTPROT-UBX
0x10740002 CFG-UART1OUTPROT-NMEA
0x10740004 CFG-UART1OUTPROT-RTCM3X
0x10750001 CFG-UART2INPROT-UBX
0x10750002 CFG-UART2INPROT-NMEA
0x10750003 CFG-UART2INPROT-RTCM2X
0x10750004 CFG-UART2INPROT-RTCM3X
0x10750005 CFG-UART2INPROT-SPARTN
0x10760001 CFG-UART2OUTPROT-UBX
0x10760002 CFG-UART2OUTPROT-NMEA
0x10760004 CFG-UART2OUTPROT-RTCM3X
0x10770001 CFG-USBINPROT-UBX
0x10770002 CFG-USBINPROT-NMEA
0x10770003 CFG-USBINPROT-RTCM2X
0x10770004 CFG-USBINPROT-RTCM3X
0x10770005 CFG-USBINPROT-SPARTN
0x10780001 CFG-USBOUTPROT-UBX
0x10780002 CFG-USBOUTPROT-NMEA
0x10780004 CFG-USBOUTPROT-RTCM3X
0x10790001 CFG-SPIINPROT-UBX
0x10790002 CFG-SPIINPROT-NMEA
0x10790003 CFG-SPIINPROT-RTCM2X
0x10790004 CFG-SPIINPROT-RTCM3X
0x10790005 CFG-SPIINPROT-SPARTN
0x107A0001 CFG-SPIOUTPROT-UBX
0x107A0002 CFG-SPIOUTPROT-NMEA
0x107A0004 CFG-SPIOUTPROT-RTCM3X
0x20910001 CFG-MSGOUT-UBX_NAV_SOL_I2C
0x20910002 CFG-MSGOUT-UBX_NAV_SOL_UART1
0x20910003 CFG-MSGOUT-UBX_NAV_SOL_UART2
0x20910004 CFG-MSGOUT-UBX_NAV_SOL_USB
0x20910005 CFG-MSGOUT-UBX_NAV_SOL_SPI
0x20910006 CFG-MSGOUT-UBX_NAV_PVT_I2C
0x20910007 CFG-MSGOUT-UBX_NAV_PVT_UART1
0x20910008 CFG-MSGOUT-UBX_NAV_PVT_UART2
0x20910009 CFG-MSGOUT-UBX_NAV_PVT_USB
0x2091000A CFG-MSGOUT-UBX_NAV_PVT_SPI
0x2091000B CFG-MSGOUT-UBX_NAV_SVINFO_I2C
0x2091000C CFG-MSGOUT-UBX_NAV_SVINFO_UART1
0x2091000D CFG-MSGOUT-UBX_NAV_SVINFO_UART2
0x2091000E CFG-MSGOUT-UBX_NAV_SVINFO_USB
0x2091000F CFG-MSGOUT-UBX_NAV_SVINFO_SPI
0x20910010 CFG-MSGOUT-UBX_NAV_ORB_I2C
0x20910011 CFG-MSGOUT-UBX_NAV_ORB_UART1
0x20910012 CFG-MSGOUT-UBX_NAV_ORB_UART2
0x20910013 CFG-MSGOUT-UBX_NAV_ORB_USB
0x20910014 CFG-MSGOUT-UBX_NAV_ORB_SPI
0x20910015 CFG-MSGOUT-UBX_NAV_SAT_I2C
0x20910016 CFG-MSGOUT-UBX_NAV_SAT_UART1
0x20910017 CFG-MSGOUT-UBX_NAV_SAT_UART2
0x20910018 CFG-MSGOUT-UBX_NAV_SAT_USB
0x20910019 CFG-MSGOUT-UBX_NAV_SAT_SPI
0x2091001A CFG-MSGOUT-UBX_NAV_STATUS_I2C
0x2091001B CFG-MSGOUT-UBX_NAV_STATUS_UART1
0x2091001C CFG-MSGOUT-UBX_NAV_STATUS_UART2
0x2091001D CFG-MSGOUT-UBX_NAV_STATUS_USB
0x2091001E CFG-MSGOUT-UBX_NAV_STATUS_SPI
0x2091001F CFG-MSGOUT-UBX_NAV_ATT_I2C
0x20910020 CFG-MSGOUT-UBX_NAV_ATT_UART1
0x20910021 CFG-MSGOUT-UBX_NAV_ATT_UART2
0x20910022 CFG-MSGOUT-UBX_NAV_ATT_USB
0x20910023 CFG-MSGOUT-UBX_NAV_ATT_SPI
0x20910024 CFG-MSGOUT-UBX_NAV_POSECEF_I2C
0x20910025 CFG-MSGOUT-UBX_NAV_POSECEF_UART1
0x20910026 CFG-MSGOUT-UBX_NAV_POSECEF_UART2
0x20910027 CFG-MSGOUT-UBX_NAV_POSECEF_USB
0x20910028 CFG-MSGOUT-UBX_NAV_POSECEF_SPI
0x20910029 CFG-MSGOUT-UBX_NAV_POSLLH_I2C
0x2091002A CFG-MSGOUT-UBX_NAV_POSLLH_UART1
0x2091002B CFG-MSGOUT-UBX_NAV_POSLLH_UART2
0x2091002C CFG-MSGOUT-UBX_NAV_POSLLH_USB
0x2091002D CFG-MSGOUT-UBX_NAV_POSLLH_SPI
0x2091002E CFG-MSGOUT-UBX_NAV_HPPOSECEF_I2C
0x2091002F CFG-MSGOUT-UBX_NAV_HPPOSECEF_UART1
0x20910030 CFG-MSGOUT-UBX_NAV_HPPOSECEF_UART2
0x20910031 CFG-MSGOUT-UBX_NAV_HPPOSECEF_USB
0x20910032 CFG-MSGOUT-UBX_NAV_HPPOSECEF_SPI
0x20910033 CFG-MSGOUT-UBX_NAV_HPPOSLLH_I2C
0x20910034 CFG-MSGOUT-UBX_NAV_HPPOSLLH_UART1
0x20910035 CFG-MSGOUT-UBX_NAV_HPPOSLLH_UART2
0x20910036 CFG-MSGOUT-UBX_NAV_HPPOSLLH_USB
0x20910037 CFG-MSGOUT-UBX_NAV_HPPOSLLH_SPI
0x20910038 CFG-MSGOUT-UBX_NAV_DOP_I2C
0x20910039 CFG-MSGOUT-UBX_NAV_DOP_UART1
0x2091003A CFG-MSGOUT-UBX_NAV_DOP_UART2
0x2091003B CFG-MSGOUT-UBX_NAV_DOP_USB
0x2091003C CFG-MSGOUT-UBX_NAV_DOP_SPI
0x2091003D CFG-MSGOUT-UBX_NAV_VELECEF_I2C
0x2091003E CFG-MSGOUT-UBX_NAV_VELECEF_UART1
0x2091003F CFG-MSGOUT-UBX_NAV_VELECEF_UART2
0x20910040 CFG-MSGOUT-UBX_NAV_VELECEF_USB
0x20910041 CFG-MSGOUT-UBX_NAV_VELECEF_SPI
0x20910042 CFG-MSGOUT-UBX_NAV_VELNED_I2C
0x20910043 CFG-MSGOUT-UBX_NAV_VELNED_UART1
0x20910044 CFG-MSGOUT-UBX_NAV_VELNED_UART2
0x20910045 CFG-MSGOUT-UBX_NAV_VELNED_USB
0x20910046 CFG-MSGOUT-UBX_NAV_VELNED_SPI
0x20910047 CFG-MSGOUT-UBX_NAV_TIMEGPS_I2C
0x20910048 CFG-MSGOUT-UBX_NAV_TIMEGPS_UART1
0x20910049 CFG-MSGOUT-UBX_NAV_TIMEGPS_UART2
0x2091004A CFG-MSGOUT-UBX_NAV_TIMEGPS_USB
0x2091004B CFG-MSGOUT-UBX_NAV_TIMEGPS_SPI
0x2091004C CFG-MSGOUT-UBX_NAV_TIMEGLO_I2C
0x2091004D CFG-MSGOUT-UBX_NAV_TIMEGLO_UART1
0x2091004E CFG-MSGOUT-UBX_NAV_TIMEGLO_UART2
0x2091004F CFG-MSGOUT-UBX_NAV_TIMEGLO_USB
0x20910050 CFG-MSGOUT-UBX_NAV_TIMEGLO_SPI
0x20910051 CFG-MSGOUT-UBX_NAV_TIMEBDS_I2C
0x20910052 CFG-MSGOUT-UBX_NAV_TIMEBDS_UART1
0x20910053 CFG-MSGOUT-UBX_NAV_TIMEBDS_UART2
0x20910054 CFG-MSGOUT-UBX_NAV_TIMEBDS_USB
0x20910055 CFG-MSGOUT-UBX_NAV_TIMEBDS_SPI
0x20910056 CFG-MSGOUT-UBX_NAV_TIMEGAL_I2C
0x20910057 CFG-MSGOUT-UBX_NAV_TIMEGAL_UART1
0x20910058 CFG-MSGOUT-UBX_NAV_TIMEGAL_UART2
0x20910059 CFG-MSGOUT-UBX_NAV_TIMEGAL_USB
0x2091005A CFG-MSGOUT-UBX_NAV_TIMEGAL_SPI
0x2091005B CFG-MSGOUT-UBX_NAV_TIMEUTC_I2C
0x2091005C CFG-MSGOUT-UBX_NAV_TIMEUTC_UART1
0x2091005D CFG-MSGOUT-UBX_NAV_TIMEUTC_UART2
0x2091005E CFG-MSGOUT-UBX_NAV_TIMEUTC_USB
0x2091005F CFG-MSGOUT-UBX_NAV_TIMEUTC_SPI
0x20910060 CFG-MSGOUT-UBX_NAV_TIMELS_I2C
0x20910061 CFG-MSGOUT-UBX_NAV_TIMELS_UART1
0x20910062 CFG-MSGOUT-UBX_NAV_TIMELS_UART2
0x20910063 CFG-MSGOUT-UBX_NAV_TIMELS_USB
0x20910064 CFG-MSGOUT-UBX_NAV_TIMELS_SPI
0x20910065 CFG-MSGOUT-UBX_NAV_CLOCK_I2C
0x20910066 CFG-MSGOUT-UBX_NAV_CLOCK_UART1
0x20910067 CFG-MSGOUT-UBX_NAV_CLOCK_UART2
0x20910068 CFG-MSGOUT-UBX_NAV_CLOCK_USB
0x20910069 CFG-MSGOUT-UBX_NAV_CLOCK_SPI
0x2091006A CFG-MSGOUT-UBX_NAV_SBAS_I2C
0x2091006B CFG-MSGOUT-UBX_NAV_SBAS_UART1
0x2091006C CFG-MSGOUT-UBX_NAV_SBAS_UART2
0x2091006D CFG-MSGOUT-UBX_NAV_SBAS_USB
0x2091006E CFG-MSGOUT-UBX_NAV_SBAS_SPI
0x20910074 CFG-MSGOUT-UBX_NAV_DGPS_I2C
0x20910075 CFG-MSGOUT-UBX_NAV_DGPS_UART1
0x20910076 CFG-MSGOUT-UBX_NAV_DGPS_UART2
0x20910077 CFG-MSGOUT-UBX_NAV_DGPS_USB
0x20910078 CFG-MSGOUT-UBX_NAV_DGPS_SPI
0x20910079 CFG-MSGOUT-UBX_NAV_AOPSTATUS_I2C
0x2091007A CFG-MSGOUT-UBX_NAV_AOPSTATUS_UART1
0x2091007B CFG-MSGOUT-UBX_NAV_AOPSTATUS_UART2
0x2091007C CFG-MSGOUT-UBX_NAV_AOPSTATUS_USB
0x2091007D CFG-MSGOUT-UBX_NAV_AOPSTATUS_SPI
0x2091007E CFG-MSGOUT-UBX_NAV_ODO_I2C
0x2091007F CFG-MSGOUT-UBX_NAV_ODO_UART1
0x20910080 CFG-MSGOUT-UBX_NAV_ODO_UART2
0x20910081 CFG-MSGOUT-UBX_NAV_ODO_USB
0x20910082 CFG-MSGOUT-UBX_NAV_ODO_SPI
0x20910083 CFG-MSGOUT-UBX_NAV_COV_I2C
0x20910084 CFG-MSGOUT-UBX_NAV_COV_UART1
0x20910085 CFG-MSGOUT-UBX_NAV_COV_UART2
0x20910086 CFG-MSGOUT-UBX_NAV_COV_USB
0x20910087 CFG-MSGOUT-UBX_NAV_COV_SPI
0x20910088 CFG-MSGOUT-UBX_NAV_SVIN_I2C
0x20910089 CFG-MSGOUT-UBX_NAV_SVIN_UART1
0x2091008A CFG-MSGOUT-UBX_NAV_SVIN_UART2
0x2091008B CFG-MSGOUT-UBX_NAV_SVIN_USB
0x2091008C CFG-MSGOUT-UBX_NAV_SVIN_SPI
0x2091008D CFG-MSGOUT-UBX_NAV_RELPOSNED_I2C
0x2091008E CFG-MSGOUT-UBX_NAV_RELPOSNED_UART1
0x2091008F CFG-MSGOUT-UBX_NAV_RELPOSNED_UART2
0x20910090 CFG-MSGOUT-UBX_NAV_RELPOSNED_USB
0x20910091 CFG-MSGOUT-UBX_NAV_RELPOSNED_SPI
0x20910092 CFG-MSGOUT-UBX_TIM_VRFY_I2C
0x20910093 CFG-MSGOUT-UBX_TIM_VRFY_UART1
0x20910094 CFG-MSGOUT-UBX_TIM_VRFY_UART2
0x20910095 CFG-MSGOUT-UBX_TIM_VRFY_USB
0x20910096 CFG-MSGOUT-UBX_TIM_VRFY_SPI
